Unnamed: 0,num_topics,accuracy_topics_coded,accuracy_codewords,num_topics_valence,accuracy_topics_valence,accuracy_codewords_valence
B002IEZJMA,10,0.6229508196720001,0.7213114754100001,11.0,0.5901639344262295,0.7213114754098361
B006MONQMC,12,0.48780487804899997,0.609756097561,10.0,0.4715447154471545,0.6097560975609756
B005ZBZLT4,12,0.8031496062989999,0.8425196850390001,6.0,0.8031496062992126,0.8188976377952756
B003GTR8IO,12,0.661654135338,0.714285714286,13.0,0.6616541353383458,0.706766917293233
B005K4Q34S,6,0.816176470588,0.8014705882350001,5.0,0.8014705882352942,0.8235294117647058
B0013A0QXC,8,0.830882352941,0.830882352941,15.0,0.8308823529411765,0.8382352941176471
B000NMJWZO,9,0.963235294118,0.963235294118,10.0,0.9632352941176471,0.9632352941176471
B000KV61FC,11,0.6115107913669999,0.647482014388,8.0,0.5251798561151079,0.697841726618705
B001EO5Q64,8,0.964788732394,0.971830985915,13.0,0.9647887323943662,0.9647887323943662
B0026RQTGE,7,0.924050632911,0.9367088607590001,7.0,0.930379746835443,0.9367088607594937
